what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333613956432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333613973746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333613975445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333613980585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333613981711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614009892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614017045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614017855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614019156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614019748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614021826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614022476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614024106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614092895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614093842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614101503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614102555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614107782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614108581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614713828
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333614733376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333614738129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333614742626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333614745421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333614746616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333614761576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614763593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614763999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333614776861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614777584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614778102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614783098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614785844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333614786308
